msoa11cd,msoa11nm,Under_16,Age_16_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_and_over,Age_16_and_over
E02002796,Allestree North,"1,125","1,476",396,472,460,508,401,401,445,365,461,"5,385"
E02002797,Allestree South,"1,116","1,787",448,457,535,536,504,438,540,477,881,"6,603"
E02002798,Oakwood,"1,673","3,260",633,713,841,911,786,571,534,319,376,"8,944"
E02002799,Breadsall Hilltop,"1,469","2,305",453,442,465,399,331,219,225,168,237,"5,244"
E02002800,Darley Abbey,"1,223","2,003",523,521,521,516,423,368,393,309,545,"6,122"
E02002801,Chaddesden North,"1,439","2,417",436,475,586,570,464,341,405,316,471,"6,481"
E02002802,Chaddesden West,"2,044","3,127",596,491,595,559,453,311,267,204,253,"6,856"
E02002803,Little Chester,829,"5,691",572,502,436,433,323,311,231,162,202,"8,863"
E02002804,Mackworth,"2,105","3,061",581,507,597,602,498,381,386,244,421,"7,278"
E02002805,Spondon North,866,"1,343",321,370,412,442,395,353,453,396,505,"4,990"
E02002806,New Zealand,906,"3,634",458,417,358,316,267,170,167,93,128,"6,008"
E02002807,Chaddesden Park,"1,832","2,822",579,621,727,653,474,451,516,354,452,"7,649"
E02002808,Cathedral Quarter & California,"1,984","7,954","1,063",890,743,652,487,303,247,161,246,"12,746"
E02002809,Spondon South,"1,400","2,228",440,518,491,529,398,331,370,334,471,"6,110"
E02002810,Mickleover North,"1,717","2,512",583,615,590,621,589,557,565,404,616,"7,652"
E02002811,New Normanton,"3,328","5,648","1,130",974,848,659,536,395,227,137,240,"10,794"
E02002812,Littleover East,"1,507","2,680",541,550,607,509,449,422,369,282,474,"6,883"
E02002813,Rose Hill & Castleward,"3,634","5,856","1,152","1,039",795,637,497,367,243,165,342,"11,093"
E02002814,Mickleover South,"1,133","1,780",442,474,530,564,551,581,565,389,661,"6,537"
E02002815,Normanton North & Peartree,"2,805","4,136",864,738,629,470,341,253,179,128,238,"7,976"
E02002816,Littleover West & Heatherton,"2,179","2,941",787,837,869,663,531,480,428,274,315,"8,125"
E02002817,Normanton West,"1,152","1,824",450,436,445,434,366,401,365,259,427,"5,407"
E02002818,Normanton South,"2,359","3,341",737,592,544,477,362,308,250,184,339,"7,134"
E02002819,Wilmorton & Alvaston Village,"1,322","2,619",518,476,553,588,471,365,361,243,350,"6,544"
E02002820,Alvaston & Crewton,"2,218","3,637",708,683,702,687,519,405,360,242,285,"8,228"
E02002821,Allenton & Osmaston,"3,498","4,828","1,012",826,831,748,539,361,310,209,328,"9,992"
E02002822,Sunny Hill,"1,398","2,199",479,486,505,486,398,326,318,237,445,"5,879"
E02002823,Boulton,"1,495","2,311",398,472,542,585,458,385,436,384,455,"6,426"
E02002824,Sinfin,"2,605","3,775",852,753,647,637,525,537,445,292,312,"8,775"
E02002825,Chellaston West & Shelton Lock,"1,760","2,402",654,662,663,562,480,429,495,346,531,"7,224"
E02002826,Chellaston East,"1,525","2,267",529,542,610,545,450,294,311,199,288,"6,035"
E02002827,Beaumont Park,"1,638","2,438",510,458,510,461,392,324,232,158,146,"5,629"
E02002828,Rushey Mead North,"1,526","2,715",628,602,556,545,575,562,440,288,378,"7,289"
E02002829,Stocking Farm & Mowmacre,"3,174","4,416",933,830,826,656,620,418,372,199,370,"9,640"
E02002830,Bradgate Heights & Beaumont Leys,"2,982","4,282",914,807,706,598,538,454,369,187,196,"9,051"
E02002831,Rushey Mead South,"1,518","2,565",628,550,516,490,500,401,342,209,346,"6,547"
E02002832,Belgrave North West,"2,049","4,071",931,810,749,650,751,554,472,275,439,"9,702"
E02002833,Belgrave North East,"1,867","3,771",757,695,696,638,587,513,333,187,260,"8,437"
E02002834,Abbey Park,"2,292","5,033",956,779,717,679,605,494,463,324,433,"10,483"
E02002835,Hamilton & Humberstone,"3,968","5,630","1,351","1,057",933,852,723,597,395,263,349,"12,150"
E02002836,Belgrave South,"2,034","4,335",915,881,888,768,745,616,464,268,408,"10,288"
E02002837,Northfields & Merrydale,"2,608","4,180",846,816,663,561,434,341,200,141,167,"8,349"
E02002838,New Parks & Stokeswood,"2,555","3,162",660,559,603,514,394,298,302,206,234,"6,932"
E02002839,Colchester Road,"2,047","2,878",653,552,584,534,495,403,344,254,362,"7,059"
E02002842,Newfoundpool,"2,115","4,329",801,623,541,465,333,204,158,81,95,"7,630"
E02002843,Spinney Hill Road,"3,838","6,594","1,381","1,304","1,015",908,770,672,410,234,316,"13,604"
E02002844,St Matthews & Highfields North,"3,406","4,826","1,112","1,034",837,659,587,471,345,213,300,"10,384"
E02002845,North Evington & Rowlatts Hill,"2,912","4,464",941,874,762,691,624,485,379,238,366,"9,824"
E02002846,Dane Hills & Western Park,"1,388","2,364",575,551,595,581,518,384,367,252,351,"6,538"
E02002847,Crown Hills,"2,732","4,762",941,896,776,643,613,494,291,208,308,"9,932"
E02002848,Highfields South,"3,114","5,854","1,075",916,747,596,524,430,334,185,250,"10,911"
E02002849,West End & Westcotes,"1,941","9,049","1,137",875,752,578,464,338,240,171,292,"13,896"
E02002851,Evington,"1,768","2,904",584,542,560,573,591,550,434,329,569,"7,636"
E02002852,Braunstone Park West,"2,239","2,872",542,523,494,466,398,224,220,119,145,"6,003"
E02002853,Stoneygate North,"3,455","6,408","1,189",975,947,789,673,635,393,263,411,"12,683"
E02002854,Braunstone Park East,"2,174","3,356",711,599,605,593,434,317,239,183,294,"7,331"
E02002855,Rowley Fields & Faircharm,"1,527","4,120",675,571,461,428,341,255,210,141,186,"7,388"
E02002856,Clarendon Park & Stoneygate South,"1,502","6,292",871,705,711,715,517,457,388,286,484,"11,426"
E02002857,Aylestone North & Saffron Fields,"1,556","3,099",560,529,446,411,320,237,177,122,143,"6,044"
E02002858,Knighton,"1,329","2,028",504,566,628,555,484,432,394,277,467,"6,335"
E02002860,Aylestone South,"1,631","2,593",602,569,566,608,523,418,449,293,464,"7,085"
E02002861,Saffron Lane,"2,261","3,229",607,542,554,525,415,292,224,144,214,"6,746"
E02002862,Eyres Monsell,"2,211","3,027",605,556,585,538,499,342,341,201,348,"7,042"
E02006815,Thurnby Lodge,"3,125","3,910",799,652,715,693,592,509,415,275,525,"9,085"
E02006817,West Knighton,"1,705","4,818",669,580,574,488,451,341,265,201,331,"8,718"
E02006819,Kirby Frith,"2,562","3,213",627,590,613,511,379,307,272,156,221,"6,889"
E02006850,Leicester City South,911,"12,091",801,523,414,307,214,135,102,68,86,"14,741"
E02006851,Leicester City Centre,642,"9,081",480,275,270,192,140,104,62,20,28,"10,652"
E02002863,"Market Overton, Cottesmore & Empingham","1,379","3,183",569,443,537,526,483,426,516,369,389,"7,441"
E02002864,"Oakham West, Langham & Whissendine","1,529","2,168",518,580,592,570,485,495,507,441,584,"6,940"
E02002865,Oakham East,"1,233","2,093",422,441,558,561,538,533,597,471,709,"6,923"
E02002866,"Ketton, Ryhall & Luffenham","1,156","1,557",451,545,622,616,552,500,631,386,576,"6,436"
E02002867,"Uppingham, Lyddington & Braunston","1,467","2,451",387,489,688,673,678,564,604,472,643,"7,649"
E02002868,Rise Park & Top Valley West,"1,138","1,800",343,395,418,441,371,336,416,331,380,"5,231"
E02002869,Bulwell North,"1,963","2,794",508,497,529,561,407,327,329,201,299,"6,452"
E02002871,Highbury Vale,"1,573","2,491",499,522,617,617,509,405,378,288,434,"6,760"
E02002872,Bulwell West,"2,185","3,167",545,657,690,611,480,414,415,288,243,"7,510"
E02002873,Bestwood,"2,648","3,854",782,686,651,560,474,306,246,156,295,"8,010"
E02002874,North Sherwood,"1,742","3,749",720,630,646,597,441,327,307,225,326,"7,968"
E02002875,Basford Park Lane,"2,124","3,274",588,606,604,631,428,338,255,203,278,"7,205"
E02002876,Old Basford,"1,518","3,065",568,574,640,628,474,355,319,253,301,"7,177"
E02002877,Sherwood Vale,"1,259","2,799",676,575,552,529,478,405,375,249,343,"6,981"
E02002878,Broxtowe & Cinderhill,"3,288","3,820",743,704,660,519,360,233,187,129,130,"7,485"
E02002879,New Basford,"2,297","4,256",888,680,673,599,463,304,247,184,208,"8,502"
E02002880,Aspley,"2,736","3,656",707,666,600,586,396,248,229,147,152,"7,387"
E02002881,Bilborough North,"1,804","2,610",476,446,504,465,363,250,231,173,271,"5,789"
E02002882,Mapperley Park,"1,165","3,710",569,595,635,589,417,375,308,163,307,"7,668"
E02002883,Thorneywood,"1,682","3,071",611,555,601,556,450,306,259,162,196,"6,767"
E02002884,Forest Fields,"1,726","3,721",668,505,457,367,256,185,130,81,156,"6,526"
E02002885,Hyson Green,"2,776","5,630",972,804,591,442,347,206,141,97,101,"9,331"
E02002886,Bobbers Mill,"2,661","4,427",821,711,654,549,495,398,348,287,408,"9,098"
E02002887,Beechdale,"1,445","2,189",426,468,507,492,408,327,383,299,399,"5,898"
E02002888,St Ann's East,"1,957","3,222",707,626,536,501,398,300,214,138,207,"6,849"
E02002889,"Arboretum, Forest & Trent University",582,"9,132",406,293,279,243,225,133,94,46,75,"10,926"
E02002890,St Ann's West,"1,395","8,199",629,484,521,493,386,240,208,149,184,"11,493"
E02002891,Bakersfield,"1,891","2,917",627,565,602,606,477,397,350,236,366,"7,143"
E02002892,Bilborough South,"1,427","2,317",437,421,494,496,380,267,280,174,286,"5,552"
E02002893,Radford,"2,291","14,011",966,681,565,438,367,264,175,110,141,"17,718"
E02002894,Wollaton Park,"1,578","2,567",565,562,485,466,437,388,357,236,416,"6,479"
E02002895,The Park & Castle,570,"6,609",489,324,350,314,243,187,187,118,145,"8,966"
E02002896,Sneinton,"2,565","5,155","1,006",768,683,561,400,304,247,150,186,"9,460"
E02002897,Wollaton Vale,"1,752","2,159",572,566,560,589,435,442,469,360,610,"6,762"
E02002898,Lenton & Dunkirk,897,"9,676",494,284,230,243,208,166,127,89,152,"11,669"
E02002899,"University Park, Lenton Abbey & Jubilee Campus",936,"12,593",493,334,303,260,249,197,192,150,224,"14,995"
E02002901,Wilford & Silverdale,"1,117","2,003",413,446,448,438,406,371,290,219,423,"5,457"
E02002902,Clifton North,"1,701","4,488",499,485,550,590,537,423,301,207,402,"8,482"
E02002903,Clifton West,"1,316","2,026",399,386,355,397,442,388,297,195,457,"5,342"
E02002904,Clifton South,"1,493","2,285",384,404,499,434,406,307,226,158,331,"5,434"
E02006834,Top Valley East,"1,601","2,595",444,482,539,608,444,339,334,243,452,"6,480"
E02006904,City Centre & Trent Bridge,804,"8,624",540,364,332,295,176,154,115,66,68,"10,734"
E02006905,Meadows,"1,699","3,622",646,523,513,455,371,279,215,145,194,"6,963"
E02004029,Alfreton,"1,317","2,302",462,469,572,554,471,430,381,263,354,"6,258"
E02004030,"Crich, Holloway & Wingfield",869,"1,245",322,379,507,579,512,491,530,381,424,"5,370"
E02004031,Somercotes & Pye Bridge,"1,634","2,502",472,537,553,529,437,360,385,250,270,"6,295"
E02004032,Swanwick & Leabrooks,"1,307","2,186",449,585,666,646,636,567,671,476,508,"7,390"
E02004033,"Ripley East, Riddings & Ironville","1,435","2,585",506,631,741,716,569,550,519,381,468,"7,666"
E02004034,Ripley West,953,"1,539",357,416,596,536,504,533,584,465,439,"5,969"
E02004035,"Ambergate, Heage & Idridgehay",843,"1,374",332,419,549,598,565,497,509,417,446,"5,706"
E02004036,Ripley South & Loscoe,"1,890","2,950",618,711,785,784,696,521,698,482,509,"8,754"
E02004037,Belper Far Laund,"1,353","2,114",500,592,716,640,533,458,506,343,473,"6,875"
E02004038,Belper Town,"1,089","1,975",451,613,629,671,540,443,545,356,472,"6,695"
E02004039,Openwoodgate & Holbrook,"1,248","1,957",464,591,626,691,577,479,479,349,401,"6,614"
E02004040,Heanor Gate & Aldercar,"1,723","2,873",643,674,790,727,620,519,509,346,372,"8,073"
E02004041,Heanor East & Langley Mill,"1,254","2,172",480,558,575,539,421,410,414,304,329,"6,202"
E02004043,Kilburn & Horsley,"1,245","1,968",486,464,569,599,489,506,504,366,414,"6,365"
E02004044,"Duffield, Quarndon & Kirk Langley","1,808","2,221",597,656,706,723,616,454,569,431,674,"7,647"
E02006827,Heanor South & Shipley Park,"1,594","2,621",451,521,632,611,494,404,429,295,382,"6,840"
E02004045,Clowne & Barlborough,"1,594","2,730",568,685,872,776,696,605,633,465,490,"8,520"
E02004046,Whitwell & Elmton,"1,049","1,689",327,435,530,536,470,391,444,304,362,"5,488"
E02004047,Creswell & Hodthorpe,"1,263","1,989",359,395,417,357,348,309,309,256,269,"5,008"
E02004048,Bolsover North & Shuttlewood,"1,484","2,267",429,467,601,563,419,400,369,245,312,"6,072"
E02004049,Bolsover South & Glapwell,"1,166","1,989",406,513,621,687,592,533,551,425,524,"6,841"
E02004050,Shirebrook North,"1,583","2,554",420,495,642,531,471,318,295,303,349,"6,378"
E02004051,"Langwith, Shirebrook South & Pleasley","1,823","3,350",576,676,809,780,673,506,506,417,401,"8,694"
E02004052,"Tibshelf, Newton & Hardwick Park","1,556","2,554",496,569,684,706,611,494,471,384,418,"7,387"
E02004053,South Normanton West,"1,527","2,474",471,514,673,561,514,400,374,308,308,"6,597"
E02004054,South Normanton Broadmeadows & Pinxton,"1,440","2,553",561,658,825,785,582,538,486,383,477,"7,848"
E02004055,Old Whittington,"1,119","1,923",388,440,549,588,498,418,412,342,422,"5,980"
E02004056,Staveley & Norbriggs,"1,773","2,536",518,503,602,537,473,409,356,267,323,"6,524"
E02004057,"New Whittington, Hollingwood & Barrow Hill","1,541","2,452",499,555,626,565,465,395,324,222,228,"6,331"
E02004058,Dunston,"1,462","2,429",487,503,579,570,502,417,421,340,414,"6,662"
E02004059,Brimington South & Tapton,"1,035","1,852",371,454,587,628,581,454,478,379,501,"6,285"
E02004060,Inkersall Green & Duckmanton,"1,452","2,113",445,516,544,545,470,471,509,364,425,"6,402"
E02004061,Newbold,"1,202","2,242",455,519,611,609,504,417,393,320,467,"6,537"
E02004062,Loundsley Green & Holme Hall,"1,135","1,988",430,513,581,672,630,553,566,347,417,"6,697"
E02004063,Ashgate & Brockwell,"1,185","1,865",470,526,587,698,580,510,536,444,595,"6,811"
E02004064,Central Chesterfield & Stonegravels,"1,765","3,532",773,697,661,705,528,400,354,208,348,"8,206"
E02004065,Brookside & Walton,"1,190","1,761",426,539,620,690,642,673,708,546,667,"7,272"
E02004066,Spital & Hasland,"1,865","3,266",731,792,924,900,767,639,699,501,670,"9,889"
E02004067,Boythorpe & Birdholme,"1,187","1,930",401,403,491,499,446,360,348,254,311,"5,443"
E02004068,"Hathersage, Bradwell & Tideswell","1,036","1,551",348,475,618,753,614,521,560,411,552,"6,403"
E02004069,"Bakewell North, Baslow & Calver",842,"1,254",349,390,502,622,561,507,600,460,567,"5,812"
E02004070,"Bakewell South, Youlgreave and Taddington",815,"1,248",279,389,476,513,527,521,530,397,581,"5,461"
E02004071,Darley Dale & Stanton,714,"1,162",285,354,385,417,440,349,413,300,384,"4,489"
E02004072,Matlock North,"1,445","2,140",583,665,762,767,702,683,765,590,753,"8,410"
E02004073,"Matlock South, Cromford & Winster","1,361","2,151",465,597,793,748,716,678,693,506,588,"7,935"
E02004074,Wirksworth,907,"1,471",318,425,507,503,477,466,464,321,381,"5,333"
E02004075,"Ashbourne North, Dovedale & Carsington",947,"1,519",324,447,645,833,649,550,592,460,455,"6,474"
E02004076,Ashbourne South,"1,376","2,144",479,509,590,567,454,392,429,323,492,"6,379"
E02004077,"Doveridge, Brailsford & Bradley","1,194","2,080",447,545,771,801,684,544,548,413,490,"7,323"
E02004078,Cotmanhay,"1,490","2,229",405,506,477,495,419,350,412,266,328,"5,887"
E02004080,Ilkeston Town,"1,747","3,213",607,663,762,715,571,490,463,332,505,"8,321"
E02004081,"Breadsall, Little Eaton & Stanley Common",939,"1,238",363,416,500,477,417,428,434,311,382,"4,966"
E02004082,West Hallam,841,"1,453",343,328,524,577,465,449,482,344,475,"5,440"
E02004083,Hallam Fields & Greenwood Ave,"1,477","2,630",519,593,654,561,467,359,372,323,306,"6,784"
E02004084,Kirk Hallam,"1,164","1,841",328,386,418,411,397,317,322,277,381,"5,078"
E02004085,Sandiacre & Stanton,"1,595","2,456",557,543,689,659,573,472,514,404,620,"7,487"
E02004086,Borrowash & Ockbrook,"1,234","1,958",458,538,575,620,499,441,448,403,495,"6,435"
E02004087,Long Eaton North,"1,511","2,486",526,550,603,612,439,386,381,256,368,"6,607"
E02004088,Long Eaton West,"1,224","1,985",500,569,629,666,517,498,512,372,428,"6,676"
E02004089,Long Eaton Town,"1,254","2,682",466,492,524,497,410,270,260,186,255,"6,042"
E02004090,Breaston & Draycott,921,"1,578",365,370,508,502,437,402,428,311,418,"5,319"
E02004091,Long Eaton South,"1,524","2,718",583,673,799,801,608,501,549,401,459,"8,092"
E02004092,Sawley,"1,778","2,783",592,634,782,686,599,509,529,458,511,"8,083"
E02006828,Shipley,"1,252","2,169",439,555,618,573,455,367,399,231,242,"6,048"
E02004093,Hadfield East & Tintwistle,"1,140","1,972",451,397,527,555,453,386,342,210,237,"5,530"
E02004094,Hadfield West & Gamesley,"1,517","2,302",450,438,561,549,445,337,351,241,277,"5,951"
E02004095,Glossop,"1,702","3,053",685,698,841,890,754,530,582,363,445,"8,841"
E02004096,"Dinting, Simmondley & Charlesworth","1,661","2,479",622,656,812,893,747,680,658,508,525,"8,580"
E02004097,New Mills West & Furness Vale,"1,089","1,965",467,616,680,702,597,485,518,363,327,"6,720"
E02004098,New Mills East & Hayfield,"1,270","2,073",454,547,576,669,577,477,497,324,357,"6,551"
E02004100,Whaley Bridge & Chinley,"1,397","2,105",471,530,751,732,691,596,548,398,475,"7,297"
E02004102,Buxton North,934,"2,382",442,575,635,707,592,511,514,382,660,"7,400"
E02004103,Buxton South & East,"1,550","2,235",416,438,551,520,448,357,309,242,312,"5,828"
E02004104,Buxton Burbage & Harpur Hill,"1,294","1,873",431,530,649,621,559,459,451,330,397,"6,300"
E02006872,Chapel-en-le-Frith & Hope Valley,"2,047","3,311",705,767,"1,059","1,082","1,027",851,896,662,797,"11,157"
E02004105,Killamarsh,"1,607","2,832",510,549,755,776,736,617,614,361,396,"8,146"
E02004106,Eckington West & Coal Aston,880,"1,490",371,443,522,575,515,514,616,481,588,"6,115"
E02004108,Dronfield Town & Unstone,"1,240","1,956",468,521,667,593,468,371,427,402,571,"6,444"
E02004109,Dronfield Woodhouse & Holmesfield,"1,088","1,474",357,392,538,470,500,485,619,513,609,"5,957"
E02004110,Dronfield South & Gosforth Lane,"1,312","1,827",489,539,571,487,489,531,515,484,521,"6,453"
E02004111,Arkwright Town & Temple Normanton,882,"1,428",292,379,440,457,433,376,400,310,375,"4,890"
E02004112,Wingerworth & Holymoorside,808,"1,256",337,365,508,541,545,499,608,495,590,"5,744"
E02004113,Grassmoor & Holmewood,"2,011","3,188",562,610,680,687,617,544,484,375,437,"8,184"
E02004114,Ashover & New Tupton,"1,186","1,982",421,480,614,655,637,596,629,538,625,"7,177"
E02004115,North Wingfield & Pilsley,"1,269","2,243",507,579,693,738,705,578,540,427,457,"7,467"
E02004116,Clay Cross,"1,596","2,464",516,562,629,652,507,459,482,384,454,"7,109"
E02004117,"Stonebroom, Shirland & Wessington","1,462","2,079",465,517,609,649,579,526,538,405,458,"6,825"
E02006804,Eckington East & Renishaw,"1,532","2,519",490,574,685,644,511,424,426,326,459,"7,058"
E02004118,Hatton & Burnaston,"1,392","2,345",486,553,670,643,530,413,394,264,359,"6,657"
E02004119,Hilton & Etwall,"2,499","3,524",902,945,952,808,598,494,484,388,459,"9,554"
E02004120,"Willington North, Findern & Stenson Fields","2,214","3,614",773,678,724,721,603,626,542,342,355,"8,978"
E02004121,Aston-on-Trent & Barrow-upon-Trent,"1,771","2,612",525,595,761,754,592,457,465,394,490,"7,645"
E02004122,Willington South & Repton,"1,217","2,005",369,470,575,531,462,438,445,333,350,"5,978"
E02004123,"Melbourne, Ticknall & Hartshorne","1,107","1,579",434,473,566,639,531,489,429,308,461,"5,909"
E02004124,Swadlincote North,"1,513","2,312",469,506,601,602,490,419,441,322,391,"6,553"
E02004125,Swadlincote West,"1,569","2,529",558,583,720,657,565,531,514,370,376,"7,403"
E02004126,Swadlincote Central,"1,348","2,287",468,486,569,558,490,509,487,308,376,"6,538"
E02004128,"Castle Gresley, Overseal & Coton","1,995","3,013",677,781,"1,027",937,750,674,764,571,612,"9,806"
E02006919,Swadlincote South,"2,228","3,434",783,820,780,640,518,417,394,244,252,"8,282"
E02006920,Swadlincote East,"1,747","2,697",533,655,723,532,409,362,331,199,222,"6,663"
E02005334,Leicester Forest East,"1,188","1,813",430,417,428,427,354,296,234,218,302,"4,919"
E02005335,Kirby Muxloe & Thurlaston,"1,294","1,837",450,530,542,589,521,420,456,370,675,"6,390"
E02005336,Thorpe Astley,"1,632","2,471",598,544,518,468,371,289,222,167,248,"5,896"
E02005337,Braunstone Town,"1,948","3,198",733,650,711,663,649,504,488,385,572,"8,553"
E02005338,Enderby & Glen Parva,"2,213","3,460",709,731,841,797,666,551,577,377,567,"9,276"
E02005339,Narborough,"1,587","2,459",555,594,674,691,570,491,520,348,390,"7,292"
E02005340,Blaby Village,"1,520","2,542",530,556,653,626,627,498,514,482,573,"7,601"
E02005341,Whetstone,"1,469","2,361",470,533,627,578,463,328,379,234,319,"6,292"
E02005342,"Cosby, Croft & Elmesthorpe","1,413","1,946",427,461,546,597,530,442,492,369,399,"6,209"
E02005343,Countesthorpe & Kilby,"1,527","2,157",513,552,615,551,509,495,549,392,452,"6,785"
E02005344,"Stoney Stanton, Sapcote & Sharnford","1,768","2,451",570,565,683,629,541,523,594,447,495,"7,498"
E02006820,Glenfield,"1,883","2,946",683,662,767,787,730,627,774,491,749,"9,216"
E02005345,Loughborough Dishley & Hathern,"1,125","2,022",434,410,470,445,442,455,400,267,262,"5,607"
E02005346,Loughborough Lemyngton & Hastings,"2,337","6,012","1,061",894,849,687,629,513,384,234,390,"11,653"
E02005347,Loughborough Storer & Queen's Park,985,"6,868",469,410,425,402,369,321,274,186,318,"10,042"
E02005348,Loughborough Garendon,763,"1,663",344,317,388,434,403,404,470,339,351,"5,113"
E02005349,Shepshed West,"1,416","2,281",517,476,532,548,459,463,468,368,395,"6,507"
E02005350,Shepshed East,"1,089","1,915",404,433,509,527,438,456,423,284,386,"5,775"
E02005351,Loughborough - University,"1,158","10,435",413,374,363,341,312,263,252,220,258,"13,231"
E02005352,"Wymeswold, Rearsby & Cossington","1,131","1,643",343,470,548,568,492,419,395,282,350,"5,510"
E02005353,Loughborough - Shelthorpe & Woodthorpe,"2,172","4,391",753,713,700,631,532,420,425,309,381,"9,255"
E02005354,Loughborough - Outwoods,"1,813","3,087",671,695,766,669,653,577,530,440,726,"8,814"
E02005355,Barrow upon Soar,"1,342","1,936",507,519,604,530,499,436,480,351,385,"6,247"
E02005356,Quorn & Mountsorrel Castle,"1,238","1,824",518,587,614,628,511,405,501,348,456,"6,392"
E02005357,Sileby,"1,725","2,640",604,548,602,586,472,411,363,252,315,"6,793"
E02005358,Mountsorrel & Rothley,"2,460","3,635",736,827,943,902,703,577,548,453,583,"9,907"
E02005359,East Goscote & Queniborough,"1,455","2,126",447,472,568,535,474,443,500,350,419,"6,334"
E02005360,"Thurcaston, Woodhouse & Bradgate","1,026","1,579",358,403,540,547,481,449,490,333,457,"5,637"
E02005361,Syston West,"1,033","1,944",395,486,542,501,453,398,354,251,337,"5,661"
E02005362,Syston East,"1,479","2,164",529,479,538,523,429,403,441,309,383,"6,198"
E02005363,Birstall Wanlip & Riverside,"1,707","2,680",553,550,596,596,522,434,489,363,638,"7,421"
E02005364,Birstall Central,922,"1,536",356,363,432,445,363,287,239,207,290,"4,518"
E02005365,Thurmaston,"1,774","2,925",652,610,675,730,735,628,564,452,563,"8,534"
E02005366,Anstey,"1,436","2,109",412,502,598,481,452,370,465,360,411,"6,160"
E02005368,"Tilton, Billesdon & Great Easton","1,022","1,365",321,451,577,619,553,449,455,333,392,"5,515"
E02005369,Kibworth & Great Glen,"2,409","3,155",778,882,876,929,759,699,745,567,731,"10,121"
E02005370,Broughton Astley,"1,819","2,724",594,704,816,706,646,552,541,310,363,"7,956"
E02005371,"Fleckney, Kilworth & Foxton","1,762","2,601",572,769,916,954,744,676,694,491,554,"8,971"
E02005372,"Dunton Bassett, Claybrooke & Swinford","1,591","2,301",545,688,900,"1,005",807,638,660,481,548,"8,573"
E02005373,"Market Harborough West, Great Bowden & Lubenham","2,150","3,180",874,943,994,881,770,703,782,582,611,"10,320"
E02005374,Market Harborough Central,"1,037","2,102",380,408,491,485,385,375,356,298,521,"5,801"
E02005375,Market Harborough South & Little Bowden,"1,765","2,526",654,734,749,669,533,456,559,424,662,"7,966"
E02005376,Lutterworth,"1,942","2,963",681,792,830,739,646,559,643,538,615,"9,006"
E02006816,"Houghton, Thurby & Scraptoft","1,525","2,280",526,462,578,606,580,511,472,380,586,"6,981"
E02005377,Markfield & Thornton,"1,680","2,441",526,585,645,696,588,534,621,454,551,"7,641"
E02005378,Groby East,984,"1,427",353,366,406,417,341,359,305,241,326,"4,541"
E02005379,Groby West & Ratby,"1,076","1,640",361,389,460,482,432,377,433,292,371,"5,237"
E02005380,"Market Bosworth, Barlestone & Sheepy Magna","1,415","2,042",476,611,758,725,671,677,689,483,555,"7,687"
E02005381,Desford & Newbold Verdon,"1,704","2,281",521,593,703,628,621,622,640,517,554,"7,680"
E02005382,Earl Shilton,"1,867","3,158",628,722,722,786,709,576,641,446,569,"8,957"
E02005383,Barwell,"1,615","2,812",618,596,722,638,597,537,576,393,442,"7,931"
E02005384,"Stoke Golding, Higham & Fenny Drayton","1,211","1,853",403,518,681,655,544,441,432,372,452,"6,351"
E02005385,Hinckley East,"1,049","1,654",417,418,518,525,435,434,489,321,418,"5,629"
E02005386,Hinckley Central,"1,572","3,190",699,639,706,647,527,400,419,321,448,"7,996"
E02005387,Hinckley West,"1,951","3,178",693,668,737,709,590,507,517,369,309,"8,277"
E02005388,Hinckley Clarendon Park,"1,187","2,023",421,453,471,419,369,275,342,215,289,"5,277"
E02005389,Burbage St Catherines,979,"1,527",356,408,469,421,354,380,396,331,543,"5,185"
E02005390,Burbage Sketchley & Stretton,"1,807","2,628",658,718,769,768,716,652,724,487,584,"8,704"
E02005391,"Bottesford, Harby & Croxton Kerrial","1,605","2,116",547,676,922,965,761,711,719,505,597,"8,519"
E02005392,Melton Mowbray North,"1,598","2,520",569,594,769,715,551,530,589,448,586,"7,871"
E02005393,"Asfordby, Frisby & Old Dalby","1,263","1,836",423,456,640,679,537,499,514,330,422,"6,336"
E02005394,Melton Mowbray West,"2,005","2,903",639,624,580,654,570,533,546,382,460,"7,891"
E02005395,Melton Mowbray South,"1,446","2,459",573,534,676,744,671,561,546,416,528,"7,708"
E02005396,"Waltham, Wymondham & Great Dalby",982,"1,455",341,432,640,700,608,494,550,381,465,"6,066"
E02005397,Castle Donington,"1,594","2,589",598,717,787,749,655,542,564,420,444,"8,065"
E02005398,Kegworth & Belton,932,"2,079",404,406,500,492,419,394,411,292,359,"5,756"
E02005399,Ashby de la Zouch North,"1,588","2,355",548,606,594,539,450,414,484,301,322,"6,613"
E02005400,Thringstone & Swannington,986,"1,425",337,357,425,433,410,424,465,336,352,"4,964"
E02005401,"Packington, Ravenstone & Coleorton","1,106","1,545",368,467,558,542,508,432,420,305,304,"5,449"
E02005402,Ashby de la Zouch South,"1,227","1,725",420,462,498,508,416,404,490,343,454,"5,720"
E02005403,Whitwick,986,"1,810",388,462,496,553,447,404,418,370,422,"5,770"
E02005404,Donisthope & Blackfordby,"1,605","2,401",484,585,785,695,589,457,488,313,379,"7,176"
E02005405,Agar Nook,"1,380","2,110",406,467,501,509,453,417,494,321,398,"6,076"
